Place Player Rating Mu Sigma #Matches #Forfeits
179 Zephyrz 21.06 23.202 1.428 14 5
180 zarby89 21.051 22.527 0.984 21 3
181 Koop 21.023 23.445 1.614 8 2
182 HiipFire 20.96 22.538 1.052 26 11
183 xarwidowu 20.9 23.258 1.572 9 0
184 number905 20.881 22.786 1.27 15 2
185 buster 20.819 24.12 2.2 6 2
186 Shepski 20.81 22.417 1.071 21 10
187 boredeathly 20.772 23.65 1.918 7 2
188 drjordo 20.702 21.808 0.737 48 19
189 FizPlaysGames 20.673 22.852 1.453 10 2
190 harukakuma 20.65 23.134 1.656 10 4
191 BossCrab 20.639 24.146 2.338 6 0
192 adam 20.628 23.128 1.666 8 2
193 infinitemystery 20.575 23.047 1.647 8 1
194 HailHydrate 20.504 22.837 1.556 8 0
195 wallyaldo 20.471 23.03 1.706 8 2
196 Bbforky 20.456 22.616 1.44 11 2
197 casusby 20.429 21.706 0.851 34 5
198 prs 20.394 23.367 1.982 6 4
199 kanopy 20.377 21.291 0.61 63 19
200 quo 20.363 22.504 1.427 12 1
201 bloodduster 20.327 23.884 2.371 6 1
202 Shion` 20.271 22.298 1.351 12 6
203 Byte_Man 20.187 22.367 1.453 12 2
204 jallek 20.168 22.026 1.239 14 1
205 HerculesBenchpress 20.152 21.702 1.033 19 6
206 Garadas 20.118 22.852 1.823 7 2
207 saintconnor 20.1 22.056 1.304 14 5
208 Wulfe 20.079 21.544 0.976 22 8
209 wagtehdog 20.074 22.518 1.63 9 3
210 Einea5mk 19.996 21.492 0.997 25 8
211 Yosh 19.98 21.75 1.18 17 4
212 tohloo 19.902 20.69 0.526 84 24
213 sakegeist 19.863 22.667 1.87 6 3
214 west0pher 19.833 21.755 1.282 15 4
215 edobean 19.809 22.478 1.779 8 3
216 highspirits 19.727 21.194 0.978 27 8
217 scg^tirean 19.688 22.503 1.877 8 3
218 Xelotath 19.654 21.063 0.939 29 10
219 Mr_Carter 19.538 21.572 1.356 13 4
220 ThunderMustache 19.502 22.595 2.062 7 0
221 Zozoken 19.476 20.918 0.962 27 7
222 rule 19.395 22.234 1.893 6 1
223 Only1Fox 19.393 21.716 1.549 9 4
224 shasta 19.33 22.093 1.842 7 3
225 KrazyRasmus 19.259 21.332 1.382 15 8
226 deepfreeze2k 19.251 20.612 0.907 31 3
227 Emptyeye 19.157 22.326 2.112 7 1
228 Grumpmeister 19.146 21.03 1.256 13 1
229 aweglib 19.049 20.91 1.241 16 2
230 goost 19.046 20.542 0.997 26 6
231 Peptobislawl 18.991 21.492 1.668 8 2
232 kulthavy 18.96 21.829 1.912 7 0
233 Xdragon95 18.947 21.912 1.976 6 2
234 KingSpore 18.926 21.796 1.913 6 1
235 AcroxShadow 18.903 21.693 1.86 6 1
236 sabby23 18.902 21.768 1.911 7 1
237 retroph 18.89 20.368 0.985 23 2
238 pcull44444 18.868 21.433 1.71 8 2
239 Golden 18.863 20.723 1.24 17 8
240 deschain 18.843 20.375 1.021 21 6
241 ReallyFastCat 18.839 21.175 1.557 10 4
242 Gamer0278 18.804 21.809 2.003 6 0
243 Garrison 18.802 21.474 1.781 8 4
244 jackinthebox333 18.577 20.412 1.224 19 6
245 fatalis 18.559 20.695 1.425 12 1
246 Ribbedkilla 18.55 21.116 1.711 10 6
247 StingX2 18.517 20.58 1.376 13 4
248 demasu 18.464 21.456 1.995 6 1
249 Oranges 18.395 19.782 0.925 24 2
250 Zerochan 18.388 19.864 0.984 23 8
251 mewyou 18.33 19.33 0.666 54 26
252 Tojimaru 18.312 21.158 1.897 6 1
253 spikevegeta 18.138 19.927 1.193 18 6
254 DhrGR 18.13 20.327 1.465 11 2
255 Vick_Viper89 18.028 20.241 1.475 11 5
256 lokki 17.918 20.592 1.783 7 0
257 iateyourpie 17.902 19.671 1.18 18 6
258 ZaeloRae 17.847 18.674 0.551 80 9
259 delphionic 17.815 20.212 1.598 9 2
260 leonpowalski 17.812 20.127 1.544 11 5
261 ChurchnSarge 17.789 20.372 1.722 7 3
262 sanqui 17.755 19.633 1.252 15 0
263 tenshots 17.416 20.276 1.907 6 0
264 Cartina 17.359 18.523 0.776 39 9
265 moofin 17.349 19.477 1.419 10 5
266 PsyMarth 17.233 19.04 1.205 14 0
267 Lishan727 17.177 18.666 0.993 24 10
268 Ephexx 17.142 19.022 1.253 13 5
269 BrassWolf 17.018 19.71 1.795 7 2
270 Beuchiism 16.78 18.077 0.864 30 4
271 ElvenStrike 16.679 18.444 1.176 16 1
